"","sort.unique.data1.to_station_name.."
"180","Damen Ave & Division St"
"181","Damen Ave & Foster Ave"
"182","Damen Ave & Grand Ave"
"183","Damen Ave & Leland Ave"
"184","Damen Ave & Madison St"
"185","Damen Ave & Melrose Ave"
"186","Damen Ave & Pershing Rd"
"187","Damen Ave & Pierce Ave"
"188","Damen Ave & Sunnyside Ave"
"189","Damen Ave & Thomas St Augusta Blvd"
"190","Damen Ave & Walnut Lake St ()"
"191","Damen Ave & Wellington Ave"
"192","Dayton St & North Ave"
"193","Dearborn Pkwy & Delaware Pl"
"194","Dearborn St & Adams St"
"195","Dearborn St & Erie St"
"196","Dearborn St & Monroe St"
"197","Dearborn St & Van Buren St"
"198","Delano Ct & Roosevelt Rd"
"199","Desplaines St & Jackson Blvd"
"200","Desplaines St & Kinzie St"
"201","Desplaines St & Randolph St"
"202","DIVVY CASSETTE REPAIR MOBILE STATION"
"203","DIVVY Map Frame B/C Station"
"204","Dodge Ave & Church St"
"205","Dodge Ave & Mulford St"
"206","Dorchester Ave & 49th St"
"207","Dorchester Ave & 63rd St"
"208","Drake Ave & Addison St"
"209","Drake Ave & Fullerton Ave"
"210","Drake Ave & Montrose Ave"
"211","Dusable Harbor"
"212","DuSable Museum"
"213","Eastlake Ter & Rogers Ave"
"214","Eberhart Ave & 61st St"
"215","Eckhart Park"
"216","Eggleston Ave & 69th St"
"217","Elizabeth May St & Fulton St"
"218","Elizabeth St & 47th St"
"219","Elizabeth St & 59th St"
"220","Ellis Ave & 53rd St"
"221","Ellis Ave & 55th St"
"222","Ellis Ave & 58th St"
"223","Ellis Ave & 60th St"
"224","Ellis Ave & 83rd St"
"225","Elmwood Ave & Austin St"
"226","Elston Ave & Wabansia Ave"
"227","Emerald Ave & 28th St"
"228","Emerald Ave & 31st St"
"229","Evans Ave & 75th St"
"230","Evanston Civic Center"
"231","Exchange Ave & 79th St"
"232","Fairbanks Ct & Grand Ave"
"233","Fairbanks St & Superior St"
"234","Fairfield Ave & Roosevelt Rd"
"235","Federal St & Polk St"
"236","Field Blvd & South Water St"
"237","Field Museum"
"238","Financial Pl & Ida B Wells Dr"
"239","Financial Pl & Ida B Wells Dr Temp"
"240","Fort Dearborn Dr & 31st St"
"241","Francisco Ave & Foster Ave"
"242","Franklin St & Adams St Temp"
"243","Franklin St & Chicago Ave"
"244","Franklin St & Chicago Ave Temp"
"245","Franklin St & Illinois St"
"246","Franklin St & Jackson Blvd"
"247","Franklin St & Lake St"
"248","Franklin St & Monroe St"
"249","Franklin St & Quincy St"
"250","Glenwood Ave & Morse Ave"
"251","Glenwood Ave & Touhy Ave"
"252","Green St & Madison St"
"253","Green St & Randolph St"
"254","Greenview Ave & Diversey Pkwy"
"255","Greenview Ave & Fullerton Ave"
"256","Greenview Ave & Jarvis Ave"
"257","Greenwood Ave & 47th St"
"258","Greenwood Ave & 79th St"
"259","Halsted St & 18th St"
"260","Halsted St & 21st St"
"261","Halsted St & 35th St"
"262","Halsted St & 37th St"
"263","Halsted St & 47th Pl"
"264","Halsted St & 51st St"
"265","Halsted St & 56th St"
"266","Halsted St & 59th St"
"267","Halsted St & 63rd St"
"268","Halsted St & 69th St"
"269","Halsted St & Archer Ave"
"270","Halsted St & Clybourn Ave"
"271","Halsted St & Dickens Ave"
"272","Halsted St & Maxwell St"
"273","Halsted St & North Branch St"
"274","Halsted St & Polk St"
"275","Halsted St & Roosevelt Rd"
"276","Halsted St & Roscoe St"
"277","Halsted St & Willow St"
"278","Halsted St & Wrightwood Ave"
"279","Harper Ave & 59th St"
"280","Hermitage Ave & Polk St"
"281","Honore St & Division St"
"282","Hoyne Ave & 47th St"
"283","Hoyne Ave & Balmoral Ave"
"284","HUBBARD ST BIKE CHECKING LBS-WH-TEST"
"285","Humboldt Blvd & Armitage Ave"
"286","Indiana Ave & 26th St"
"287","Indiana Ave & 31st St"
"288","Indiana Ave & 40th St"
"289","Indiana Ave & Roosevelt Rd"
"290","Jefferson St & Monroe St"
"291","Jeffery Blvd & 67th St"
"292","Jeffery Blvd & 71st St"
"293","Jeffery Blvd & 76th St"
"294","Karlov Ave & Madison St"
"295","Kedzie Ave & 21st St"
"296","Kedzie Ave & 24th St"
"297","Kedzie Ave & Bryn Mawr Ave"
"298","Kedzie Ave & Chicago Ave"
"299","Kedzie Ave & Foster Ave"
"300","Kedzie Ave & Harrison St"
"301","Kedzie Ave & Lake St"
"302","Kedzie Ave & Leland Ave"
"303","Kedzie Ave & Milwaukee Ave"
"304","Kedzie Ave & Palmer Ct"
"305","Kedzie Ave & Roosevelt Rd"
"306","Kenton Ave & Madison St"
"307","Keystone Ave & Fullerton Ave"
"308","Keystone Ave & Montrose Ave"
"309","Kilbourn Ave & Irving Park Rd"
"310","Kilbourn Ave & Milwaukee Ave"
"311","Kildare Ave & Montrose Ave"
"312","Kimball Ave & Belmont Ave"
"313","Kimbark Ave & 53rd St"
"314","Kingsbury St & Erie St"
"315","Kingsbury St & Kinzie St"
"316","Knox Ave & Montrose Ave"
"317","Kosciuszko Park"
"318","Kostner Ave & Adams St"
"319","Kostner Ave & Lake St"
"320","Lake Park Ave & 35th St"
"321","Lake Park Ave & 47th St"
"322","Lake Park Ave & 53rd St"
"323","Lake Park Ave & 56th St"
"324","Lake Shore Dr & Belmont Ave"
"325","Lake Shore Dr & Diversey Pkwy"
"326","Lake Shore Dr & Monroe St"
"327","Lake Shore Dr & North Blvd"
"328","Lake Shore Dr & Ohio St"
"329","Lake Shore Dr & Wellington Ave"
"330","Lakefront Trail & Bryn Mawr Ave"
"331","Lakefront Trail & Wilson Ave"
"332","Lakeview Ave & Fullerton Pkwy"
"333","Laramie Ave & Gladys Ave"
"334","Laramie Ave & Kinzie St"
"335","Laramie Ave & Madison St"
"336","Larrabee St & Armitage Ave"
"337","Larrabee St & Division St"
"338","Larrabee St & Kingsbury St"
"339","Larrabee St & Menomonee St"
"340","Larrabee St & North Ave"
"341","Larrabee St & Oak St"
"342","Larrabee St & Webster Ave"
"343","LaSalle Dr & Huron St"
"344","LaSalle St & Adams St"
"345","LaSalle St & Illinois St"
"346","LaSalle St & Jackson Blvd"
"347","LaSalle St & Washington St"
"348","Latrobe Ave & Chicago Ave"
"349","LBS - BBB La Magie"
"350","Leavitt St & Addison St"
"351","Leavitt St & Archer Ave"
"352","Leavitt St & Armitage Ave"
"353","Leavitt St & Belmont Ave"
"354","Leavitt St & Chicago Ave"
"355","Leavitt St & Division St"
"356","Leavitt St & Lawrence Ave"
"357","Leavitt St & North Ave"
"358","Lincoln Ave & Addison St"
"359","Lincoln Ave & Belle Plaine Ave"
"360","Lincoln Ave & Belmont Ave"
"361","Lincoln Ave & Diversey Pkwy"
"362","Lincoln Ave & Fullerton Ave"
"363","Lincoln Ave & Roscoe St"
"364","Lincoln Ave & Sunnyside Ave"
"365","Lincoln Ave & Waveland Ave"
"366","Lincoln Ave & Winona St"
"367","Lincoln Park Conservatory"
"368","Lincolnwood Dr & Central St"
"369","Logan Blvd & Elston Ave"
"370","Loomis St & Archer Ave"
"371","Loomis St & Jackson Blvd"
"372","Loomis St & Lexington St"
"373","Loomis St & Taylor St"
"374","Malcolm X College"
"375","Manor Ave & Leland Ave"
"376","Maplewood Ave & Peterson Ave"
"377","Marine Dr & Ainslie St"
"378","Marshfield Ave & 44th St"
"379","Marshfield Ave & 59th St"
"380","Marshfield Ave & Cortland St"
"381","May St & 69th St"
"382","May St & Cullerton St"
"383","May St & Taylor St"
"384","McClurg Ct & Erie St"
"385","McClurg Ct & Illinois St"
"386","McCormick Place"
"387","Michigan Ave & 14th St"
"388","Michigan Ave & 18th St"
"389","Michigan Ave & 71st St"
"390","Michigan Ave & 8th St"
"391","Michigan Ave & Ida B Wells Dr"
"392","Michigan Ave & Jackson Blvd"
"393","Michigan Ave & Lake St"
"394","Michigan Ave & Madison St"
"395","Michigan Ave & Oak St"
"396","Michigan Ave & Pearson St"
"397","Michigan Ave & Washington St"
"398","Mies van der Rohe Way & Chestnut St"
"399","Mies van der Rohe Way & Chicago Ave"
"400","Millard Ave & 26th St"
"401","Millennium Park"
"402","Milwaukee Ave & Cuyler Ave"
"403","Milwaukee Ave & Grand Ave"
"404","Milwaukee Ave & Rockwell St"
"405","Milwaukee Ave & Wabansia Ave"
"406","MLK Jr Dr & 29th St"
